City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Xining,CN,36.6167,101.7667,54.1,88,8,2.01,clear sky
1,Georgetown,MY,5.4112,100.3354,82.33,92,20,5.75,few clouds
2,Mount Isa,AU,-20.7333,139.5,46.17,76,100,0.0,overcast clouds
3,Busselton,AU,-33.65,115.3333,54.27,66,100,7.67,overcast clouds
4,Shingu,JP,33.7333,135.9833,76.86,87,100,3.71,overcast clouds
5,Jamestown,US,42.097,-79.2353,76.51,55,75,12.66,broken clouds
6,Ushuaia,AR,-54.8,-68.3,44.26,65,40,25.32,scattered clouds
7,Trelew,AR,-43.249,-65.3051,53.06,40,0,10.51,clear sky
8,Asau,RO,46.4333,26.4,69.28,88,88,5.21,overcast clouds
9,Bilma,NE,18.6853,12.9164,94.71,20,40,10.2,scattered clouds
10,Port Macquarie,AU,-31.4333,152.9167,43.9,87,65,4.81,broken clouds
11,Beringovskiy,RU,63.05,179.3167,50.05,73,100,1.5,overcast clouds
12,Hithadhoo,MV,-0.6,73.0833,81.57,74,100,16.6,heavy intensity rain
13,Merauke,ID,-8.4667,140.3333,77.16,86,100,16.24,overcast clouds
14,Port Elizabeth,ZA,-33.918,25.5701,53.89,71,0,16.11,clear sky
15,Russell,US,32.3502,-85.1999,93.11,62,20,9.22,few clouds
16,Sao Filipe,CV,14.8961,-24.4956,77.65,79,100,9.19,overcast clouds
17,Airai,TL,-8.9266,125.4092,57.88,93,60,3.62,broken clouds
18,San Policarpo,PH,12.1791,125.5072,80.42,82,100,8.12,light rain
19,Douentza,ML,14.9951,-2.9517,88.52,44,49,10.27,scattered clouds
20,Port Alfred,ZA,-33.5906,26.891,59.13,59,99,16.51,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,47.8,79,96,7.54,light rain
22,Tolaga Bay,NZ,-38.3667,178.3,55.02,74,26,17.47,scattered clouds
23,Butaritari,KI,3.0707,172.7902,81.28,69,100,16.62,overcast clouds
24,Severo-Kurilsk,RU,50.6789,156.125,52.54,93,84,7.61,broken clouds
25,Tripoli,LY,32.8752,13.1875,83.52,62,0,10.45,clear sky
26,Hobart,AU,-42.8794,147.3294,42.26,83,100,9.22,light rain
27,Bolobo,CD,-2.1667,16.2333,83.71,46,100,3.27,overcast clouds
28,Kavieng,PG,-2.5744,150.7967,81.64,76,75,12.19,light rain
29,Albany,US,42.6001,-73.9662,80.94,51,67,3.0,broken clouds
30,Denpasar,ID,-8.65,115.2167,76.71,88,20,10.36,few clouds
31,Codrington,AU,-38.2667,141.9667,51.89,57,100,19.37,light rain
32,Bredasdorp,ZA,-34.5322,20.0403,49.08,89,100,6.76,light rain
33,Bonthe,SL,7.5264,-12.505,76.98,72,57,7.81,broken clouds
34,Dunedin,NZ,-45.8742,170.5036,42.8,69,100,8.01,overcast clouds
35,Cidreira,BR,-30.1811,-50.2056,59.83,60,0,5.08,clear sky
36,Mweka,CD,-4.85,21.5667,77.49,43,40,1.66,scattered clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,57.22,77,0,6.91,clear sky
38,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,24.16,broken clouds
39,Tuatapere,NZ,-46.1333,167.6833,36.48,92,85,5.08,light rain
40,Odweyne,SO,9.4092,45.064,75.49,51,46,17.02,scattered clouds
41,Waipawa,NZ,-41.4122,175.5153,41.13,91,100,19.44,light rain
42,New Norfolk,AU,-42.7826,147.0587,41.92,79,100,2.8,light rain
43,Poum,NC,-20.2333,164.0167,71.4,79,99,31.12,overcast clouds
44,Saint-Philippe,RE,-21.3585,55.7679,66.22,80,44,16.78,scattered clouds
45,Carnarvon,AU,-24.8667,113.6333,62.01,57,100,14.83,overcast clouds
46,Collie,AU,-33.3667,116.15,46.33,72,100,3.87,overcast clouds
47,Ipixuna,BR,-1.7625,-48.8043,77.52,91,98,3.06,overcast clouds
48,Itupiranga,BR,-5.1347,-49.3267,89.92,44,99,1.72,overcast clouds
49,Lebu,CL,-37.6167,-73.65,52.65,76,100,9.4,overcast clouds
50,Torbay,CA,47.6666,-52.7314,66.38,93,100,12.66,light rain
51,Alta Floresta,BR,-9.8756,-56.0861,96.62,21,5,4.61,smoke
52,Sakakah,SA,29.9697,40.2064,101.77,8,11,11.7,few clouds
53,Portland,US,45.5234,-122.6762,94.98,52,40,6.91,scattered clouds
54,Sao Felix Do Xingu,BR,-6.6447,-51.995,96.87,24,52,2.77,broken clouds
55,Manadhoo,MV,5.7667,73.3833,79.9,82,100,15.59,moderate rain
56,Bauchi,NG,10.5,10.0,68.43,91,100,5.14,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,52.12,88,75,3.44,broken clouds
58,Mitsamiouli,KM,-11.3847,43.2844,73.69,88,20,2.3,few clouds
59,Elmina,GH,5.0898,-1.348,75.38,80,68,13.65,broken clouds
60,Calabozo,VE,8.9242,-67.4293,87.6,57,99,4.85,overcast clouds
61,Palmerston,AU,-12.486,130.9833,71.58,92,35,4.61,scattered clouds
62,Gouyave,GD,12.1646,-61.7296,84.97,74,20,23.02,few clouds
63,Ruwi,OM,23.5996,58.5507,87.49,80,79,2.98,broken clouds
64,Bluff,NZ,-46.6,168.3333,37.8,74,100,16.31,light rain
65,Cartagena,CO,10.3997,-75.5144,91.02,66,40,17.27,scattered clouds
66,Padang,ID,-0.9492,100.3543,77.38,83,94,2.93,overcast clouds
67,Dinanagar,IN,32.15,75.4667,77.61,91,89,5.48,overcast clouds
68,Saldanha,ZA,-33.0117,17.9442,50.05,79,36,6.42,light rain
69,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,56,20,18.41,few clouds
70,Tawau,MY,4.2498,117.8871,77.13,94,91,4.5,overcast clouds
71,Luderitz,NA,-26.6481,15.1594,56.01,63,76,23.78,broken clouds
72,Zhumadian,CN,32.9794,114.0294,74.75,83,0,4.9,clear sky
73,Lorengau,PG,-2.0226,147.2712,80.55,71,97,5.97,overcast clouds
74,Kaitangata,NZ,-46.2817,169.8464,37.54,91,95,9.57,overcast clouds
75,Katsuura,JP,35.1333,140.3,79.48,88,51,12.86,broken clouds
76,Amapa,BR,1.0,-52.0,79.83,93,31,4.09,scattered clouds
77,Calvia,ES,39.5657,2.5062,84.07,57,0,5.39,clear sky
78,Walvis Bay,NA,-22.9575,14.5053,56.08,87,5,10.36,clear sky
79,Thinadhoo,MV,0.5333,72.9333,77.27,88,100,14.56,light rain
80,Santa Maria,BR,-29.6842,-53.8069,61.9,55,0,5.75,clear sky
81,Ancud,CL,-41.8697,-73.8203,49.23,64,100,2.28,overcast clouds
82,Maldonado,UY,-34.6667,-54.9167,63.79,57,0,4.23,clear sky
83,Chuy,UY,-33.6971,-53.4616,59.4,60,0,0.51,clear sky
84,Awbari,LY,26.5921,12.7805,91.04,13,0,9.13,clear sky
85,Gweta,BW,-20.1833,25.2333,65.62,24,0,5.97,clear sky
86,Frankfort,ZA,-27.2667,28.4833,56.19,39,100,6.71,overcast clouds
87,Hobyo,SO,5.3505,48.5268,76.05,86,31,26.78,scattered clouds
88,Diffa,NE,13.3154,12.6113,76.78,66,100,5.73,overcast clouds
89,Alyangula,AU,-13.8483,136.4192,62.47,94,40,0.0,scattered clouds
90,Quelimane,MZ,-17.8786,36.8883,69.75,83,20,4.61,few clouds
91,Vao,NC,-22.6667,167.4833,67.41,82,100,25.5,light rain
92,Balikpapan,ID,-1.2675,116.8289,76.19,94,40,11.5,heavy intensity rain
93,Esperance,AU,-33.8667,121.9,47.88,77,79,19.86,light rain
94,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,19.57,light rain
95,Miandrivazo,MG,-19.5167,45.4667,72.05,69,98,1.12,light rain
96,Sinnamary,GF,5.3833,-52.95,82.92,74,14,7.61,few clouds
97,Geraldton,AU,-28.7667,114.6,52.21,87,100,4.61,overcast clouds
98,Jeronimo Monteiro,BR,-20.7894,-41.395,72.19,63,97,8.01,overcast clouds
99,San Ignacio,BZ,17.1561,-89.0714,89.74,58,40,6.91,scattered clouds
100,Souillac,MU,-20.5167,57.5167,70.18,78,40,19.57,scattered clouds
101,Tirthahalli,IN,13.7,75.2333,72.45,96,80,2.89,broken clouds
102,Maumere,ID,-8.6199,122.2111,74.77,82,77,6.98,broken clouds
103,Birjand,IR,32.8663,59.2211,81.07,29,20,11.5,few clouds
104,Wanning,CN,18.8003,110.3967,80.8,85,13,6.71,few clouds
105,Karpathos,GR,35.507,27.2132,75.16,83,0,31.07,clear sky
106,Contamana,PE,-7.3333,-75.0167,91.76,41,84,2.13,broken clouds
107,Kruisfontein,ZA,-34.0033,24.7314,51.58,67,0,11.59,clear sky
108,Zaranj,AF,30.9667,61.8833,98.56,18,78,27.67,broken clouds
109,Kloulklubed,PW,7.0419,134.2556,75.7,75,100,11.88,overcast clouds
110,Mahebourg,MU,-20.4081,57.7,70.09,78,40,19.57,scattered clouds
111,Inirida,CO,3.8653,-67.9239,82.58,80,38,0.83,scattered clouds
112,Mumford,GH,5.2618,-0.759,74.8,83,100,15.12,overcast clouds
113,Ahipara,NZ,-35.1667,173.1667,52.66,79,22,15.52,few clouds
114,Faya,SA,18.3851,42.4509,71.71,55,58,4.14,broken clouds
115,Pringsewu,ID,-5.3582,104.9744,72.91,94,99,2.91,overcast clouds
116,Kongolo,CD,-5.3833,27.0,79.34,52,40,2.77,scattered clouds
117,Betong,TH,5.7743,101.0723,73.47,98,100,2.19,overcast clouds
118,Kabo,CF,7.6994,18.629,71.64,96,100,3.94,moderate rain
119,Aripuana,BR,-9.1667,-60.6333,97.27,17,6,0.18,clear sky
120,Laguna,US,38.421,-121.4238,92.01,54,0,9.22,clear sky
121,Rapar,IN,23.5667,70.6333,81.37,76,84,15.1,broken clouds
122,Hasaki,JP,35.7333,140.8333,77.29,88,76,7.38,broken clouds
123,Farafangana,MG,-22.8167,47.8333,66.67,90,3,6.8,light rain
124,El Alto,PE,-4.2714,-81.2147,71.26,73,24,16.02,few clouds
125,Ambilobe,MG,-13.2,49.05,68.7,80,0,5.41,clear sky
126,Hambantota,LK,6.1241,81.1185,75.54,100,75,1.14,broken clouds
127,Key Largo,US,25.0865,-80.4473,89.01,69,7,16.75,clear sky
128,Angoche,MZ,-16.2325,39.9086,73.02,75,76,6.31,broken clouds
129,Baft,IR,29.234,56.6057,66.18,74,100,1.92,light rain
130,Edd,ER,13.9297,41.6925,90.39,67,37,3.69,scattered clouds
131,Puerto Narino,CO,-3.7703,-70.3831,91.38,45,15,2.93,few clouds
132,Paciran,ID,-6.8767,112.3761,75.34,85,3,8.16,clear sky
133,Hualmay,PE,-11.0964,-77.6139,67.46,69,15,9.48,few clouds
134,Pauini,BR,-7.7136,-66.9764,97.27,26,30,1.41,scattered clouds
135,Kutum,SD,14.2,24.6667,81.73,49,96,6.33,light rain
136,Grand Gaube,MU,-20.0064,57.6608,70.2,74,72,10.0,broken clouds
137,Yulin,CN,22.6333,110.15,77.25,89,50,2.73,scattered clouds
138,Necochea,AR,-38.5473,-58.7368,58.53,55,100,5.12,overcast clouds
139,Parkes,AU,-33.1333,148.1833,44.35,70,100,3.0,overcast clouds
140,Kavaratti,IN,10.5669,72.642,81.41,82,82,18.05,broken clouds
141,Uruzgan,AF,32.8333,66.0,83.71,23,16,5.37,few clouds
142,Tucurui,BR,-3.7661,-49.6725,90.61,47,83,2.19,broken clouds
143,Viga,PH,13.8719,124.3091,78.76,91,100,5.26,overcast clouds
144,Coihaique,CL,-45.5752,-72.0662,44.55,53,40,3.44,scattered clouds
145,Ponta Do Sol,PT,32.6667,-17.1,78.01,78,2,5.39,clear sky
146,Beaufort,MY,5.3473,115.7455,75.25,89,100,2.66,overcast clouds
147,Kieta,PG,-6.2167,155.6333,77.43,83,49,6.46,light rain
148,Tagusao,PH,9.1924,117.8141,79.9,82,100,4.88,overcast clouds
149,Sabang,ID,5.8933,95.3214,82.33,77,97,18.57,overcast clouds
150,Pokhara,NP,28.2333,83.9833,72.84,93,100,1.97,moderate rain
151,Buraydah,SA,26.326,43.975,97.25,28,100,8.77,overcast clouds
152,Villa Bruzual,VE,9.3328,-69.1208,83.91,72,40,3.65,scattered clouds
153,Vilhena,BR,-12.7406,-60.1458,84.42,34,0,4.61,clear sky
154,Orocue,CO,4.7912,-71.3354,87.94,58,66,2.55,broken clouds
155,Henties Bay,NA,-22.116,14.2845,54.55,91,100,8.75,overcast clouds
156,Kollam,IN,8.8833,76.6,78.39,90,69,7.45,broken clouds
157,Marrakesh,MA,31.6315,-8.0083,104.07,21,40,11.5,scattered clouds
158,Gat,IL,31.61,34.7642,81.81,100,49,4.41,scattered clouds
159,Victoria Point,AU,-27.5833,153.3,57.18,85,100,7.43,overcast clouds
160,Shahreza,IR,32.0339,51.8794,80.69,33,84,6.69,broken clouds
161,Falmouth,GB,50.1544,-5.0711,66.65,96,100,9.22,overcast clouds
162,Yumen,CN,40.2833,97.2,78.91,24,100,5.3,overcast clouds
163,Najran,SA,17.4924,44.1277,93.85,32,96,11.07,overcast clouds
164,Bathsheba,BB,13.2167,-59.5167,85.05,88,40,14.97,scattered clouds
165,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.1,81,98,10.74,overcast clouds
166,Ulladulla,AU,-35.35,150.4667,43.88,71,43,7.18,scattered clouds
167,Raga,SS,8.4596,25.678,70.36,95,79,4.25,light rain
168,Oranjemund,NA,-28.55,16.4333,53.6,79,6,14.81,clear sky
169,Bairiki,KI,1.3292,172.9752,78.8,78,20,9.22,few clouds
170,Tumbes,PE,-3.5667,-80.4414,80.55,65,20,8.05,few clouds
171,Mount Gambier,AU,-37.8333,140.7667,51.94,52,100,14.03,light rain
172,Victoria,HK,22.2855,114.1577,86.38,86,43,1.01,scattered clouds
173,Kemise,ET,10.7167,39.8667,69.42,81,87,4.63,moderate rain
174,Gurupa,BR,-1.405,-51.64,90.61,48,52,2.89,broken clouds
175,Bafq,IR,31.6128,55.4107,88.59,35,93,2.19,overcast clouds
176,Chocope,PE,-7.7914,-79.2217,65.25,61,27,11.79,scattered clouds
177,Marzuq,YE,14.4,46.4667,82.33,54,44,9.22,light rain
178,Saint George,US,37.1041,-113.5841,91.44,43,0,10.36,clear sky
179,Kulhudhuffushi,MV,6.6221,73.07,81.28,79,100,17.9,moderate rain
180,Cap Malheureux,MU,-19.9842,57.6142,70.47,72,70,13.0,broken clouds
181,Touros,BR,-5.1989,-35.4608,76.1,85,100,9.44,overcast clouds
182,Santa Fe,AR,-31.6333,-60.7,73.0,31,9,4.0,light rain
183,Vila Velha,BR,-20.3297,-40.2925,71.55,77,75,17.0,broken clouds
184,Liuzhou,CN,24.3126,109.3892,79.45,75,47,0.72,scattered clouds
185,Jacareacanga,BR,-6.2222,-57.7528,97.3,25,91,1.45,overcast clouds
186,Lata,PT,40.1629,-8.3327,87.49,42,0,4.97,clear sky
187,Ayr,GB,55.4627,-4.6339,65.32,77,40,8.05,scattered clouds
188,Ailigandi,PA,9.2333,-78.0167,85.12,74,99,7.34,overcast clouds
189,Marsa Matruh,EG,31.3525,27.2453,80.8,78,0,4.61,clear sky
190,Rawson,AR,-43.3002,-65.1023,52.29,44,0,10.22,clear sky
191,Korla,CN,41.7597,86.1469,76.08,38,5,3.09,clear sky
192,Cayenne,GF,4.9333,-52.3333,84.09,10,75,9.22,broken clouds
193,Jurado,CO,7.1053,-77.7641,82.71,81,100,6.31,light rain
194,Trincomalee,LK,8.5711,81.2335,79.83,83,98,8.19,overcast clouds
195,Shirvan,AZ,39.9509,48.8994,79.0,60,0,4.88,clear sky
196,Meulaboh,ID,4.1363,96.1285,76.44,90,84,1.72,broken clouds
197,Mbulu,TZ,-3.85,35.5333,61.43,66,99,9.69,overcast clouds
198,Upata,VE,8.0086,-62.3989,83.19,64,77,1.19,broken clouds
199,Chivolo,CO,10.025,-74.6228,92.48,48,9,3.33,clear sky
200,Batemans Bay,AU,-35.7167,150.1833,45.1,75,26,7.47,scattered clouds
201,Grand-Santi,GF,4.25,-54.3833,81.72,83,54,1.16,broken clouds
202,Emet,TR,39.343,29.2585,70.3,50,0,3.42,clear sky
203,Zaraza,VE,9.3503,-65.3245,96.31,34,84,1.23,broken clouds
204,Bell Ville,AR,-32.6259,-62.6887,73.67,22,100,13.02,overcast clouds
205,Kurunegala,LK,7.4863,80.3623,75.15,95,100,3.71,overcast clouds
206,Manoel Urbano,BR,-8.8389,-69.2597,94.3,30,10,0.83,clear sky
207,Atambua,ID,-9.1061,124.8925,70.52,89,35,4.76,scattered clouds
208,Taree,AU,-31.9,152.4667,44.49,90,100,4.41,overcast clouds
209,Rabo De Peixe,PT,37.8,-25.5833,76.51,65,20,5.75,few clouds
210,Lasa,IT,46.6166,10.7002,61.74,72,44,6.6,scattered clouds
211,Araouane,ML,18.9048,-3.5265,96.4,30,53,6.38,broken clouds
212,Nador,MA,35.174,-2.9287,82.65,78,75,3.44,broken clouds
213,Morros,BR,-9.4467,-46.3003,95.9,17,0,1.34,clear sky
214,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,76,75,16.11,broken clouds
215,Nampula,MZ,-15.1165,39.2666,69.75,78,20,8.05,few clouds
216,Along,IN,28.1667,94.7667,75.16,98,99,0.67,overcast clouds
217,Matay,EG,28.419,30.7792,90.12,16,1,8.16,clear sky
218,Pasighat,IN,28.0667,95.3333,77.05,97,99,2.8,overcast clouds
219,Muswellbrook,AU,-32.2667,150.9,40.28,92,100,2.62,overcast clouds
220,Samarai,PG,-10.6167,150.6667,79.65,81,13,10.58,few clouds
221,Alice Springs,AU,-23.7,133.8833,45.95,42,100,2.3,overcast clouds
222,Bosaso,SO,11.2842,49.1816,91.81,45,3,10.04,clear sky
223,Nizwa,OM,22.9333,57.5333,86.77,61,89,4.61,overcast clouds
224,Gold Coast,AU,-28.0,153.4333,56.03,89,100,1.14,drizzle
225,Kupang,ID,-10.1667,123.5833,75.33,83,49,11.79,scattered clouds
226,Nanchang,CN,28.6833,115.8833,80.85,78,97,2.24,overcast clouds
227,Nishihara,JP,26.1842,127.7558,80.65,94,75,11.5,light intensity shower rain
228,Porbandar,IN,21.6422,69.6093,80.96,79,32,11.27,scattered clouds
229,Ballina,AU,-28.8667,153.5667,52.02,99,100,2.17,overcast clouds
230,Madimba,TZ,-10.4,40.3333,70.92,94,20,9.22,few clouds
231,Honiara,SB,-9.4333,159.95,75.7,87,8,4.85,clear sky
232,Siuna,NI,13.7332,-84.7773,81.19,84,52,4.97,broken clouds
233,Kismayo,SO,-0.3582,42.5454,75.81,83,11,13.24,few clouds
234,Dilla,ET,6.41,38.31,62.38,93,100,3.09,light rain
235,Tateyama,JP,34.9833,139.8667,79.11,86,73,13.02,broken clouds
236,Rantepao,ID,-2.9701,119.8978,66.34,98,100,1.3,overcast clouds
237,Ligayan,PH,4.6533,119.4706,83.34,73,100,5.48,overcast clouds
238,Sungaipenuh,ID,-2.0833,101.3833,64.02,88,97,1.79,overcast clouds
239,Hirara,JP,24.8,125.2833,84.85,77,100,6.91,overcast clouds
240,Tessalit,ML,20.1986,1.0114,90.03,32,96,13.27,overcast clouds
241,Adre,TD,13.4667,22.2,77.13,72,96,6.46,light rain
242,Buxar,IN,25.5833,83.9833,89.65,62,100,5.48,overcast clouds
243,Mitu,CO,1.1983,-70.1733,85.95,60,42,1.83,scattered clouds
244,Pakokku,MM,21.3333,95.1,88.0,60,100,12.62,overcast clouds
245,Belmonte,BR,-15.8631,-38.8828,78.03,76,0,11.21,clear sky
246,Moree,AU,-29.4667,149.85,44.85,78,100,9.71,overcast clouds
247,Watsa,CD,3.0372,29.5355,63.86,96,100,1.39,overcast clouds
248,Sampit,ID,-2.5333,112.95,73.72,100,100,2.82,light rain
249,Lagos,NG,6.5833,3.75,75.34,82,88,7.27,overcast clouds
250,San Cristobal,VE,7.7669,-72.225,82.58,46,46,7.74,scattered clouds
251,Ribeira Grande,PT,38.5167,-28.7,77.4,69,75,8.05,broken clouds
